name,scientific_name,photo_url,description,group_name,baby_name,top_speed,life_span,weight,height,length,habitat,predators,prey,fun_fact,animal_type,diet,parks
Porcupine,Erethizon dorsatum,https://images.pexels.com/photos/7723050/pexels-photo-7723050.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Slow-moving, nocturnal rodents known for their sharp quills and love of climbing trees.",Prickle,porcupette,2 mph,"5-7 years in the wild, up to 15 years in captivity",12-35 lbs,1.5-2 ft,2-3 ft,"Forests, rocky areas, and grasslands","mountain lions, bobcats, coyotes",none,"Porcupines have about 30,000 quills that they use for defense.",mammal,Herbivore,"Rocky Mountain National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Pika,Ochotona princeps,https://images.pexels.com/photos/10035016/pexels-photo-10035016.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Small, adorable mammals known for their high-pitched calls in rocky habitats.",colony,pup,15 mph,7 years,0.4 lbs,2.4 inches,4.5 inches,Rocky talus slopes,"coyotes, bobcats, red foxes, golden eagles, red-tailed hawks",none,They collect and store 'haystacks' of vegetation for winter survival.,mammal,Herbivore,"Rocky Mountain National Park, Yosemite National Park, Yellowstone National Park, Grand Canyon National Park"
Cottontail Rabbit,Sylvilagus nuttallii,https://images.pexels.com/photos/18094514/pexels-photo-18094514.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A small rabbit with a distinctive white tail, commonly found in open habitats.",herd or colony,kit or bunny,18 mph,3 years,2.5 lbs,1.2 ft,14 in,"Grasslands, shrubs, and lowland forests","coyotes, red foxes, great-horned owls, mountain lions, bobcats, red-tailed hawks, golden eagles, bald eagles, red fox, Prairie Rattlesnake",none,Mountain Cottontails often use their tail to signal alarm when danger approaches.,mammal,Herbivore,"Rocky Mountain National Park, Yosemite National Park, Yellowstone National Park, Great Smoky Mountains National Park"
Gray Wolf,Canis lupus,https://images.pexels.com/photos/27067812/pexels-photo-27067812.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,An iconic predator known for its pack behavior and howling.,"pack, rout, or flock",pup,37 mph,13 years,100 lbs,2.5 ft,5 ft,"Forests, tundras, grasslands",none,"beavers, moose, coyote, red fox, elk, mule deer, bighorn sheep, mountain goats",Gray wolves have a complex social structure within their packs.,mammal,Carnivore,"Rocky Mountain National Park, Yellowstone National Park"
Bobcat,Lynx rufus,https://images.pexels.com/photos/11533125/pexels-photo-11533125.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A medium-sized wildcat with a short 'bobbed' tail, tufted ears, and a spotted coat, known for its adaptability and stealth.",clowder (rarely used),kitten,30 mph,7 years,20 lbs,2 ft,3 ft,"Forests, deserts, swamps, and suburban areas","mountain lions, coyotes","mule deer, yellow-bellied marmots, bats, turkey, porcupines, pika, cottontail rabbits, abert’s squirrels, pine squirrels, mountain goats",Bobcats are solitary animals and use scent marking and vocalizations to define their territory.,mammal,Carnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Mountain Goat,Oreamnos americanus,https://images.pexels.com/photos/29435674/pexels-photo-29435674.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Sure-footed climbers often found on steep, rocky slopes.",herd or trip,kid,15 mph,9 years,200 lbs,3 ft,5 ft,"Alpine, cliffs","mountain lions, coyotes, golden eagles, gray wolves, black bears, bobcats",none,Mountain goats' hooves have a rough texture for gripping rocks.,mammal,Herbivore,"Rocky Mountain National Park, Yellowstone National Park"
Abert's Squirrel,Sciurus aberti,https://images.pexels.com/photos/8365761/pexels-photo-8365761.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,A tree squirrel distinguished by its long ear tufts.,dray or scurry,kit,12 mph,7 years,1.5 lbs,6 inches,1.5 ft,Ponderosa pine forests,"coyotes, mountain lions, bobcats, bald eagles",none,Abert's squirrels depend on ponderosa pine for both food and shelter.,mammal,Herbivore,"Rocky Mountain National Park, Yosemite National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Pine Squirrel,Tamiasciurus hudsonicus,https://images.pexels.com/photos/1571117/pexels-photo-1571117.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A small, vocal squirrel known for its chattering calls.",dray or scurry,kit,15 mph,8 years,0.7 lbs,3.5 inches,1.2 ft,Coniferous forests,"coyotes, mountain lions, bobcats, bald eagles",none,Pine squirrels stash cones in large caches for winter survival.,mammal,Omnivore,"Rocky Mountain National Park, Yosemite National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Wyoming Ground Squirrel,Urocitellus elegans,https://images.pexels.com/photos/3635178/pexels-photo-3635178.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,A burrowing rodent commonly seen in open grasslands.,colony,pup,10 mph,5 years,1.5 lbs,4.5 inches,9.6 inches,"Grasslands, sagebrush","coyotes, mountain lion, red-tailed hawks, Prairie Rattlesnake",none,These squirrels hibernate for up to six months a year.,mammal,Herbivore,Rocky Mountain National Park
Chipmunk,Tamias minimus,https://images.pexels.com/photos/681178/pexels-photo-681178.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,The smallest chipmunk species in North America.,scurry,pup,10 mph,3 years,0.1 lbs,3.5 inches,6 inches,"Forests, grasslands, rocky areas","coyotes, red-tailed hawks, great-horned owls, garter snakes",none,They can gather food equal to their body weight in a single day.,mammal,Omnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Red Fox,Vulpes vulpes,https://images.pexels.com/photos/158340/fuchs-wild-animal-predator-animal-world-158340.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Adaptable mammals with reddish fur, known for their cunning behavior and diverse diet.",skulk or leash,kit or cub,31 mph,"2-5 years in the wild, up to 14 years in captivity",10-15 lbs,1.5 ft,3 ft,"Forests, grasslands, mountains, suburban areas","Coyotes, gray wolves, mountain lions","Cottontail rabbits, yellow-bellied marmots, bats, turkeys, pika, Mountain Chickadees, Western Painted Turtle",Red foxes use their bushy tails for balance and as a warm cover in cold weather.,mammal,Omnivore,"Rocky Mountain National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Raccoon,Procyon lotor,https://images.pexels.com/photos/16605/pexels-photo.jpg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Nocturnal mammals with a distinctive mask-like facial pattern and a bushy, ringed tail, known for their intelligence and adaptability.",gaze,kit or cub,15 mph,"2-5 years in the wild, up to 20 years in captivity",10-20 lbs,1.5 ft,2.5 ft,"Forests, wetlands, urban areas","Coyotes, bobcats, mountain lions, great horned owls","bats, Western Fence Lizard, Garter Snakes, Western Painted Turtle, Northern Leopard Frogs, Tiger Salamanders, honeybees, bumblebees, Black Widow Spiders, Deer Ticks, Crayfish","Raccoons are known for their dexterous front paws, which allow them to manipulate objects and open containers.",mammal,Omnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Bald Eagle,Haliaeetus leucocephalus,https://images.pexels.com/photos/3250638/pexels-photo-3250638.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A majestic bird of prey with a white head and tail, symbolizing the United States.",convocation or aerie (if nesting),eaglet,75 mph,28 years,22 lbs,3 ft,3.5 ft,"Lakes, rivers, forests",golden eagles,"cottontail rabbits, abert’s squirrels, pine squirrels, rainbow trout, Osprey",Bald eagles build the largest nests of any bird in North America.,bird,Carnivore,"Rocky Mountain National Park, Yosemite National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Golden Eagle,Aquila chrysaetos,https://images.pexels.com/photos/2846072/pexels-photo-2846072.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,A large raptor with golden feathers on its nape and a powerful build.,convocation or aerie (if nesting),eaglet,200 mph,30 years,33 lbs,3 ft,3.5 ft,"Mountains, grasslands, cliffs",none,"bighorn sheep, mule deer, yellow-bellied marmots, beavers, pika, cottontail rabbits, mountain goats, red-tailed hawks, Peregrine Falcons, Osprey, Black-billed Magpie, Steller's Jays, Mountain Bluebirds",Golden eagles can spot prey from more than two miles away.,bird,Carnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Red-Tailed Hawk,Buteo jamaicensis,https://images.pexels.com/photos/3954869/pexels-photo-3954869.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,A common hawk with a reddish tail and a piercing call often used in movies.,cast,eyas,120 mph,20 years,6.6 lbs,2 ft,2.3 ft,"Grasslands, forests, deserts","golden eagles, great-horned owls","pika, bats, cottontail rabbits, Wyoming Ground Squirrels, Chipmunk, Black-billed Magpies, Steller's Jays, Mountain Bluebirds, Gray Jays, western fence lizards, Prairie Rattlesnakes, Garter Snakes",They are monogamous and may stay with the same mate for life.,bird,Carnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Peregrine Falcon,Falco peregrinus,https://images.pexels.com/photos/2548433/pexels-photo-2548433.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"The fastest bird in the world, capable of diving at incredible speeds.",cast,chick,240 mph,15 years,4.4 lbs,1.5 ft,1.5 ft,"Cliffs, forests, urban areas","golden eagles, great-horned owls","bats, mountain bluebird, whitecrowned sparrows, mountain chickadees",Peregrine falcons have been clocked diving at over 240 mph.,bird,Carnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Osprey,Pandion haliaetus,https://images.pexels.com/photos/7014688/pexels-photo-7014688.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,A fish-eating raptor with a distinct M-shaped flight pattern.,"duet, family, or flock",owlet,50 mph,25 years,8.8 lbs,2 ft,2.1 ft,"Lakes, rivers, coasts","golden eagles, bald eagles",rainbow trout,Ospreys have reversible outer toes to help them grasp fish.,bird,Carnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Great Horned Owl,Bubo virginianus,https://images.pexels.com/photos/1980867/pexels-photo-1980867.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,A large owl with prominent ear tufts and piercing yellow eyes.,parliament or glaring,poult,40 mph,13 years,7.05 lbs,2.1 ft,2.3 ft,"Forests, grasslands, urban areas","golden eagles, bald eagles","beavers, cottontail rabbits, Chipmunk, red-tailed hawks, Peregrine Falcons, prairie rattlesnakes, Gray Jays, Mountain Chickadees, Garter Snakes",Great horned owls are known as the 'tiger of the sky' for their ferocity.,bird,Carnivore,"Rocky Mountain National Park, Yosemite National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Wild Turkey,Meleagris gallopavo,https://images.pexels.com/photos/12043816/pexels-photo-12043816.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,Large ground-dwelling birds with iridescent feathers and a distinctive gobble.,raft or flock,poult,"20 mph on ground, 55 mph in flight","3-5 years in the wild, up to 10 years in captivity",8-24 lbs,3-4 ft,4-4.5 ft (with tail),"Forests, meadows, and grasslands","Coyotes, bobcats, mountain lions, red foxes",None,"Male turkeys, called toms, can puff out their feathers, fan their tails, and gobble loudly to attract mates.",bird,Omnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Great Smoky Mountains National Park"
Black-billed Magpie,Pica hudsonia,https://images.pexels.com/photos/4168320/pexels-photo-4168320.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,A striking black-and-white bird with iridescent blue-green feathers on its wings and tail.,tidings or charm,chick,20 mph,6 years,0.44 lbs,6 inches,5 inches,"Open woodlands, grasslands, and near human settlements","red-tailed hawks, golden eagles, coyotes","grasshoppers, deer ticks",Black-billed magpies are highly intelligent and known for their social behavior and vocalizations.,bird,Omnivore,"Rocky Mountain National Park, Yellowstone National Park, Grand Canyon National Park"
Steller's Jay,Cyanocitta stelleri,https://images.pexels.com/photos/3379017/pexels-photo-3379017.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A bold bird with striking blue feathers and a black crested head, often found in mountainous forests.","band, party, or scold",chick,30 mph,8 years,0.33 lbs,4.5 inches,4 inches,"Coniferous forests, montane woodlands","red-tailed hawks, golden eagles, coyotes, garter snakes",grasshoppers,Steller's jays are known for mimicking the calls of other birds and even mammals.,bird,Omnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park"
Mountain Bluebird,Sialia currucoides,https://images.pexels.com/photos/12489562/pexels-photo-12489562.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A small, vibrant blue bird found in mountainous areas, known for its bright blue plumage.",flock,chick,25 mph,6 years,0.055 lbs,3.5 inches,2.5 inches,"Open meadows, high-altitude forests, grasslands","Peregrine Falcons, red-tailed hawks, golden eagles","grasshoppers, ants, termites, Snowberry Clearwing Moth",Mountain bluebirds are known for their aerial acrobatics while catching insects.,bird,Insectivore,"Rocky Mountain National Park, Yosemite National Park, Yellowstone National Park, Grand Canyon National Park"
Gray Jay,Perisoreus canadensis,https://images.pexels.com/photos/5673015/pexels-photo-5673015.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A medium-sized bird with soft gray plumage and a pale face, often seen in high-elevation coniferous forests.","band, party, or scold",chick,25 mph,10 years,0.18 lbs,3.5 inches,3 inches,"Boreal forests, subalpine zones","red-tailed hawks, great horned owls","grasshoppers, ants, termites, Snowberry Clearwing Moth",Gray jays are known as 'camp robbers' for their bold habit of stealing food from campers and hikers.,bird,Omnivore,"Rocky Mountain National Park, Yellowstone National Park"
Mountain Chickadee,Poecile gambeli,https://images.pexels.com/photos/29484241/pexels-photo-29484241.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A small, curious bird with a black cap and white cheeks, often found in coniferous forests.",band or flock,chick,18 mph,7 years,0.04 lbs,1.5 inches,1.5 inches,"High-altitude forests, coniferous woodlands","Peregrine Falcons, great-horned owls, red foxes","grasshoppers, ants, termites, Snowberry Clearwing Moth, Two-tailed Swallowtail, Cabbage White, Black Swallowtail, painted lady, Deer Ticks",Mountain chickadees are known for their distinctive 'chick-a-dee-dee' call.,bird,Omnivore,"Rocky Mountain National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Western Fence Lizard,Sceloporus occidentalis,https://images.pexels.com/photos/2555199/pexels-photo-2555199.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A common lizard with blue markings on its belly, often seen basking on rocks.",lounge,hatchling,8 mph,5 years,0.11 lbs,1 inch,3 inches,"Rocky outcrops, woodlands, scrublands","raccoons, garter snakes, red-tailed hawks","ants, termites, grasshoppers, black-widow spiders, brown recluse spiders, funnel web spiders",Western fence lizards can perform push-ups as part of their territorial displays.,reptile,Insectivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Prairie Rattlesnake,Crotalus viridis,https://images.pexels.com/photos/2618894/pexels-photo-2618894.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A venomous snake with distinctive rattles at the end of its tail, found in open grasslands and rocky hills.",rhumba,neonate or snakelet,3 mph,20 years,3.31 lbs,1 inch,1.5 ft,"Grasslands, rocky outcrops","Great-Horned Owls, coyotes, red-tailed hawks","wyoming ground squirrels, cottontail rabbits",Northern prairie rattlesnakes use their rattles to warn predators and humans of their presence.,reptile,Carnivore,"Rocky Mountain National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Garter Snake,Thamnophis sirtalis,https://images.pexels.com/photos/162347/snake-young-animal-cute-slim-162347.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A slender, green or brown snake with longitudinal stripes, often found in moist areas.",knot,neonate or snakelet,3 mph,6 years,0.22 lbs,1 inch,8 inches,"Wetlands, grasslands, forests","red-tailed hawks, great horned owls, raccoons","Chipmunks, Western Fence Lizard, grasshoppers, Northern Leopard Frogs, Tiger Salamanders","Common garter snakes often eat amphibians, small fish, and earthworms.",reptile,Carnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Western Painted Turtle,Chrysemys picta belli,https://images.pexels.com/photos/3387169/pexels-photo-3387169.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,A freshwater turtle with striking red and yellow markings on its shell and skin.,bale or nest,hatchling,0.5 mph,50 years,2.2 lbs,2 inches,3.5 inches,"Ponds, lakes, marshes","raccoons, red foxes","water striders, rainbow trout, crayfish",Western painted turtles are known for basking on logs or rocks during warm weather.,reptile,Omnivore,"Rocky Mountain National Park, Yosemite National Park, Yellowstone National Park"
Northern Leopard Frog,Rana pipiens,https://images.pexels.com/photos/27986855/pexels-photo-27986855.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A large frog with distinctive dark spots, often found near permanent water bodies.","army, colony or knot",tadpole,5 mph,8 years,0.13 lbs,0.5 inches,1 inch,"Lakes, ponds, marshes","garter snakes, raccoons","grasshoppers, water striders, blue dasher dragonflies, ruddy darter dragonflies, mayflies, brown recluse spiders","Northern leopard frogs have a distinct leopard-like pattern, making them easily recognizable.",amphibian,Insectivore,"Rocky Mountain National Park, Yosemite National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Tiger Salamander,Ambystoma tigrinum,https://images.pexels.com/photos/4238608/pexels-photo-4238608.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,A large salamander known for its yellow or orange tiger-like markings.,congress,larva or eft,2 mph,20 years,0.44 lbs,0.5 inches,3.5 inches,"Woodlands, grasslands, ponds","garter snakes, raccoons","grasshoppers, funnel web spiders",Tiger salamanders are one of the largest terrestrial salamanders in North America.,amphibian,Carnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Great Smoky Mountains National Park"
Rainbow Trout,Oncorhynchus mykiss,https://images.pexels.com/photos/3311091/pexels-photo-3311091.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A brightly colored trout with a characteristic rainbow stripe along its side, native to cold water environments.",school,fry (just after hatching) and fingerling (slightly older),6 mph,6 years,4.41 lbs,2 inches,6 inches,"Streams, rivers, lakes","bald eagles, osprey, Western Painted Turtle","mayflies, crawfish, ruddy darter dragonfly, blue dasher dragonfly",Rainbow trout are popular among anglers due to their fighting ability when hooked.,fish,Omnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Mayfly,Ephemeroptera,https://images.pexels.com/photos/9496097/pexels-photo-9496097.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Mayflies are aquatic insects known for their brief adult lifespan, typically only lasting a day or two. They are an important food source for many animals.",swarm,naiad (aquatic nymph stage),1 mph,1 day,0.00022 lbs,1 inch,0.3 inches,"Freshwater bodies, such as streams, rivers, and lakes","rainbow trout, northern leopard frogs, blue dasher dragonflies, ruddy darter dragonflies, Crayfish",none,"Mayflies are known for their short adult lifespan, with some species living only for a few hours.",Insect,"Detritivore (as nymphs), some species feed on nectar (as adults)","Rocky Mountain National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Painted Lady Butterfly,Vanessa cardui,https://images.pexels.com/photos/633437/pexels-photo-633437.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A common butterfly with orange and black patterns, known for migrating long distances.",flutter or kaleidoscope,caterpillar,6 mph,1 year,0.0066 lbs,0.6 inches,0.5 inches,"Open fields, gardens, meadows","funnel web spiders, black widow spiders, mountain chickadees, ants",none,Painted Lady butterflies are one of the most widespread butterfly species in the world.,insect,Nectar from flowers,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Black Swallowtail Butterfly,Papilio polyxenes,https://images.pexels.com/photos/8921055/pexels-photo-8921055.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A striking butterfly with black wings adorned by yellow spots and blue bands, common in North America.",flutter or kaleidoscope,caterpillar,15 mph,1 year,1.32 lbs,0.2 inches,1.5 inches,"Meadows, gardens, and forest edges","funnel web spiders, black widow spiders, mountain chickadees, ants",none,Black Swallowtail caterpillars resemble bird droppings in their early stages to deter predators.,insect,"Nectar from thistles, clovers, and milkweed","Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
